q,ic50
0,15964.09
0.01,20561.0813
0.02,21958.6614
0.03,22706.954100000003
0.04,23431.221199999996
0.05,24089.152
0.06,24713.6542
0.07,25305.5705
0.08,25545.2308
0.09,25848.6496
0.1,26209.598
0.11,26599.2305
0.12,26837.087199999998
0.13,27099.4686
0.14,27374.0952
0.15,27720.115999999998
0.16,27988.67
0.17,28079.72
0.18,28412.6564
0.19,28716.589699999997
0.2,28984.600000000002
0.21,29217.337700000004
0.22,29396.109600000003
0.23,29631.6632
0.24,29848.515600000002
0.25,30092.475
0.26,30288.207200000004
0.27,30453.7777
0.28,30633.6792
0.29,30806.098599999998
0.3,31024.416
0.31,31279.525999999998
0.32,31603.7984
0.33,31744.9884
0.34,31796.0504
0.35000000000000003,31958.561999999998
0.36,32120.395200000003
0.37,32304.0707
0.38,32429.7486
0.39,32558.9074
0.4,32720.522
0.41000000000000003,32870.102399999996
0.42,33138.1398
0.43,33273.122
0.44,33394.096000000005
0.45,33557.437000000005
0.46,33729.9228
0.47000000000000003,33901.2854
0.48,34075.3968
0.49,34245.614799999996
0.5,34398.405
0.51,34477.3438
0.52,34562.0628
0.53,34631.2478
0.54,34727.62
0.55,34883.1775
0.56,34966.8896
0.5700000000000001,35040.742900000005
0.58,35260.5818
0.59,35364.4518
0.6,35518.866
0.61,35702.93059999999
0.62,35949.066399999996
0.63,36113.202099999995
0.64,36219.0716
0.65,36372.907
0.66,36604.6416
0.67,36711.4747
0.68,36849.354
0.6900000000000001,36973.608
0.7000000000000001,37122.395000000004
0.71,37245.810099999995
0.72,37406.412
0.73,37553.6569
0.74,37760.6334
0.75,37859.4925
0.76,38055.1676
0.77,38186.0739
0.78,38405.2764
0.79,38538.242099999996
0.8,38676.691999999995
0.81,38838.387
0.8200000000000001,39033.0404
0.8300000000000001,39212.8704
0.84,39401.3492
0.85,39533.2385
0.86,39718.162599999996
0.87,39866.5082
0.88,40073.5516
0.89,40190.4441
0.9,40381.265
0.91,40545.0392
0.92,40773.3528
0.93,41101.556599999996
0.9400000000000001,41569.561
0.9500000000000001,41860.48550000001
0.96,42149.7156
0.97,42576.4451
0.98,43416.001
0.99,43949.8454
1,45677.33
