q,ic50
0,247.06
0.01,1235.2923
0.02,1785.9578
0.03,2173.1543
0.04,2452.4592000000002
0.05,2673
0.06,2957.9102
0.07,3076.0706
0.08,3249.1380000000004
0.09,3452.5395
0.1,3757.7950000000005
0.11,3913.8213
0.12,4147.1996
0.13,4389.4827000000005
0.14,4707.3636
0.15,5011.561
0.16,5214.6104
0.17,5341.3642
0.18,5528.644
0.19,5765.443899999999
0.2,5990.142
0.21,6201.0278
0.22,6362.6634
0.23,6503.7886
0.24,6672.9475999999995
0.25,6806.445000000001
0.26,6971.108
0.27,7195.1554
0.28,7445.8596
0.29,7758.5784
0.3,7844.455
0.31,7992.653399999999
0.32,8271.5612
0.33,8455.9256
0.34,8668.6104
0.35000000000000003,8887.672
0.36,9167.0456
0.37,9496.2109
0.38,9649.7342
0.39,9878.586500000001
0.4,10094.797999999999
0.41000000000000003,10301.8924
0.42,10557.9862
0.43,10809.0498
0.44,10988.7216
0.45,11279.762
0.46,11515.074600000002
0.47000000000000003,11683.0409
0.48,11930.7284
0.49,12229.2143
0.5,12485.744999999999
0.51,12939.212
0.52,13175.4708
0.53,13540.667900000004
0.54,13813.199800000006
0.55,14243.033000000003
0.56,14543.2144
0.5700000000000001,14706.930400000001
0.58,15027.180399999997
0.59,15320.4036
0.6,15698.216
0.61,15952.9821
0.62,16328.430799999998
0.63,16589.647900000004
0.64,16995.1924
0.65,17349.1375
0.66,17654.8378
0.67,18114.9184
0.68,18644.9544
0.6900000000000001,18985.6538
0.7000000000000001,19155.107000000004
0.71,19673.759899999997
0.72,20268.518799999998
0.73,20643.6921
0.74,21035.6618
0.75,21536.385000000002
0.76,22046.6768
0.77,22537.576300000004
0.78,22986.0608
0.79,23250.464900000003
0.8,23507.408000000003
0.81,23865.9297
0.8200000000000001,24515.0558
0.8300000000000001,24741.485000000004
0.84,25309.754399999998
0.85,26514.570499999998
0.86,27172.5076
0.87,27665.9232
0.88,28446.5664
0.89,28968.4221
0.9,29756.07
0.91,30576.684900000007
0.92,31172.56000000001
0.93,31828.6828
0.9400000000000001,32510.323600000003
0.9500000000000001,33414.506499999996
0.96,34376.4264
0.97,35501.9145
0.98,36588.58239999999
0.99,39093.5246
1,42843.75
