q,ic50
0,737.52
0.01,1303.7336
0.02,1696.4036
0.03,1906.3522
0.04,2056.7480000000005
0.05,2177.8865000000005
0.06,2317.4042
0.07,2424.6374
0.08,2603.6564
0.09,2699.1959
0.1,2755.779
0.11,2918.8156000000004
0.12,3036.342
0.13,3183.8446
0.14,3274.8902
0.15,3366.1994999999997
0.16,3432.3912000000005
0.17,3517.7444000000005
0.18,3621.1115999999997
0.19,3685.1079999999997
0.2,3751.2920000000004
0.21,3885.8808
0.22,3982.9044000000004
0.23,4108.1194000000005
0.24,4152.390399999999
0.25,4264.0725
0.26,4414.985000000001
0.27,4491.5650000000005
0.28,4602.3944
0.29,4771.0207
0.3,4915.784
0.31,5023.810200000001
0.32,5113.7176
0.33,5205.9437
0.34,5353.4804
0.35000000000000003,5498.253500000001
0.36,5598.6756000000005
0.37,5704.9306
0.38,5810.4878
0.39,5906.7477
0.4,6011.072
0.41000000000000003,6157.5267
0.42,6271.0712
0.43,6392.143099999999
0.44,6514.6764
0.45,6636.75
0.46,6738.0578000000005
0.47000000000000003,6910.962600000001
0.48,7036.198399999999
0.49,7111.6816
0.5,7241.815
0.51,7377.8519
0.52,7573.8288
0.53,7776.387200000001
0.54,7967.485199999999
0.55,8105.221000000001
0.56,8248.9608
0.5700000000000001,8482.1236
0.58,8651.7598
0.59,8745.7182
0.6,8856.814
0.61,9016.8532
0.62,9202.747
0.63,9379.450799999999
0.64,9612.878
0.65,9749.0035
0.66,10010.581
0.67,10164.6195
0.68,10539.830000000002
0.6900000000000001,10738.770500000002
0.7000000000000001,10987.782000000003
0.71,11165.766199999998
0.72,11410.8356
0.73,11748.5093
0.74,11987.114000000001
0.75,12248.529999999999
0.76,12519.421999999999
0.77,12698.1004
0.78,12861.294800000001
0.79,13163.629
0.8,13574.868
0.81,13967.5024
0.8200000000000001,14399.0426
0.8300000000000001,14813.712899999999
0.84,15051.1512
0.85,15503.2665
0.86,16012.7588
0.87,16480.5072
0.88,17004.329999999998
0.89,17692.8115
0.9,18262.821
0.91,18927.9928
0.92,19394.231200000002
0.93,20144.2152
0.9400000000000001,21131.479800000005
0.9500000000000001,21687.9345
0.96,22623.105999999996
0.97,23993.7371
0.98,26209.8102
0.99,28667.692899999995
1,39380.19
