q,ic50
0,419.24
0.01,1005.9717
0.02,1284.3864
0.03,1539.9125999999999
0.04,1802.1399999999999
0.05,2021.148
0.06,2229.3704000000002
0.07,2368.0089
0.08,2479.2843999999996
0.09,2682.799
0.1,2787.328
0.11,2913.3804
0.12,3086.2468
0.13,3263.5413000000003
0.14,3430.4836
0.15,3566.564
0.16,3762.1772
0.17,3885.5780000000004
0.18,4011.3558
0.19,4125.8855
0.2,4221.094
0.21,4344.2367
0.22,4517.4946
0.23,4629.0872
0.24,4776.075599999999
0.25,5006.685
0.26,5054.149600000001
0.27,5181.590500000001
0.28,5346.8572
0.29,5453.1361
0.3,5590.013999999999
0.31,5730.3114
0.32,5873.614
0.33,6087.8251
0.34,6217.9544000000005
0.35000000000000003,6310.7425
0.36,6446.7212
0.37,6635.7156
0.38,6773.377399999999
0.39,6876.791499999999
0.4,7012.908000000001
0.41000000000000003,7133.316200000001
0.42,7249.6404
0.43,7363.4691
0.44,7545.8984
0.45,7726.1425
0.46,7877.118200000001
0.47000000000000003,7983.5496
0.48,8180.2648
0.49,8316.945699999998
0.5,8550.474999999999
0.51,8706.1099
0.52,8839.1584
0.53,9025.863000000001
0.54,9202.423400000001
0.55,9558.099500000002
0.56,9780.541200000001
0.5700000000000001,9959.0017
0.58,10066.7248
0.59,10342.2251
0.6,10459.376
0.61,10665.652600000001
0.62,10859.666000000001
0.63,11052.4076
0.64,11152.3036
0.65,11244.473000000002
0.66,11385.076799999999
0.67,11645.098200000002
0.68,11924.537200000002
0.6900000000000001,12177.6789
0.7000000000000001,12327.181000000002
0.71,12487.7683
0.72,12795.763200000001
0.73,13089.801699999998
0.74,13382.7136
0.75,13713.655
0.76,13973.432
0.77,14098.954300000001
0.78,14376.835200000001
0.79,14554.1517
0.8,14629.136000000002
0.81,15006.755800000003
0.8200000000000001,15433.988400000002
0.8300000000000001,15675.7582
0.84,15992.481199999998
0.85,16311.1525
0.86,16708.967399999998
0.87,16876.3844
0.88,17432.572
0.89,18111.5907
0.9,18592.432
0.91,18922.146
0.92,19381.002
0.93,19999.876200000002
0.9400000000000001,21128.575800000013
0.9500000000000001,22071.549000000006
0.96,22929.047999999995
0.97,23691.951999999997
0.98,25129.2812
0.99,26389.827899999997
1,32987.62
