q,ic50
0,601.05
0.01,877.6614
0.02,1121.2852
0.03,1354.3904
0.04,1729.4804
0.05,1950.6945
0.06,2192.7254000000003
0.07,2408.3070000000002
0.08,2603.2916000000005
0.09,2873.7659000000003
0.1,3042.3250000000003
0.11,3336.4022
0.12,3643.1895999999997
0.13,3925.9619000000002
0.14,4235.821400000001
0.15,4421.4529999999995
0.16,4638.1556
0.17,4957.4131
0.18,5238.8232
0.19,5521.0877
0.2,5648.8060000000005
0.21,5813.1663
0.22,5940.6140000000005
0.23,6231.3036
0.24,6500.6888
0.25,6690.6825
0.26,6944.693000000001
0.27,7279.536600000003
0.28,7574.236800000001
0.29,7903.779199999998
0.3,8051.907999999999
0.31,8339.1137
0.32,8546.588800000001
0.33,8910.205800000002
0.34,9133.2026
0.35000000000000003,9315.372500000001
0.36,9553.3924
0.37,9782.4314
0.38,10075.1096
0.39,10330.607600000001
0.4,10552.486
0.41000000000000003,10800.9877
0.42,11116.0324
0.43,11526.9493
0.44,11761.973600000001
0.45,12108.7335
0.46,12566.235999999999
0.47000000000000003,12740.6963
0.48,13197.9888
0.49,13607.197999999999
0.5,14034.915
0.51,14280.2188
0.52,14745.16
0.53,14947.813900000001
0.54,15203.7536
0.55,15755.98350000001
0.56,16296.438400000005
0.5700000000000001,16791.283600000002
0.58,17160.2774
0.59,17527.328599999997
0.6,17735.061999999998
0.61,18034.124799999998
0.62,18539.835
0.63,18781.8797
0.64,19049.584000000003
0.65,19271.1535
0.66,19686.920600000005
0.67,20009.5008
0.68,20210.7592
0.6900000000000001,20660.424600000006
0.7000000000000001,21119.719
0.71,21575.7757
0.72,21881.8312
0.73,22346.2894
0.74,23086.6656
0.75,23891.152499999997
0.76,24211.8704
0.77,24537.877800000002
0.78,25108.271
0.79,25474.544
0.8,25721.95
0.81,26015.990500000004
0.8200000000000001,26615.460800000004
0.8300000000000001,27133.237000000005
0.84,27616.1584
0.85,28094.100499999997
0.86,28528.05
0.87,29014.8656
0.88,29442.1408
0.89,29892.665800000002
0.9,30306.879999999997
0.91,31466.4911
0.92,32171.926
0.93,32815.725
0.9400000000000001,33501.1612
0.9500000000000001,34182.179000000004
0.96,35216.323599999996
0.97,36231.910099999994
0.98,37572.952399999995
0.99,39248.3589
1,41475.4
