q,ic50
0,38.56
0.01,97.6679
0.02,149.8164
0.03,198.9211
0.04,224.5796
0.05,252.962
0.06,284.20480000000003
0.07,319.0092
0.08,381.8208
0.09,421.12989999999996
0.1,465.222
0.11,532.3711999999999
0.12,581.932
0.13,614.2242000000001
0.14,641.4988000000002
0.15,700.6009999999999
0.16,779.5032
0.17,817.1752
0.18,861.2348
0.19,951.4701
0.2,1025.948
0.21,1116.9684
0.22,1185.9486
0.23,1278.8536000000001
0.24,1343.4019999999998
0.25,1443.3225
0.26,1534.708
0.27,1611.1892
0.28,1773.8772000000006
0.29,1900.8683
0.3,1986.944
0.31,2069.4435999999996
0.32,2280.9880000000003
0.33,2497.4577
0.34,2568.5726
0.35000000000000003,2680.9295
0.36,2795.7236
0.37,2897.0396
0.38,3242.9216
0.39,3463.8031000000005
0.4,3609.844
0.41000000000000003,3681.8911000000003
0.42,3870.0263999999997
0.43,3958.0528000000004
0.44,4112.3748
0.45,4359.6435
0.46,4513.2974
0.47000000000000003,4666.829300000001
0.48,4848.031999999999
0.49,5027.5285
0.5,5222.41
0.51,5430.9221
0.52,5638.308000000001
0.53,5852.408700000001
0.54,6004.134800000001
0.55,6242.880000000001
0.56,6474.338000000001
0.5700000000000001,6741.376400000001
0.58,7040.8604
0.59,7224.6046
0.6,7483.287999999999
0.61,7746.482599999999
0.62,8064.3616
0.63,8349.615999999998
0.64,8665.01
0.65,8907.2405
0.66,9188.2844
0.67,9600.938400000003
0.68,9878.888400000002
0.6900000000000001,10186.7895
0.7000000000000001,10551.899000000001
0.71,10709.523
0.72,11055.056399999998
0.73,11482.890999999998
0.74,11845.2984
0.75,12282.6675
0.76,12734.1348
0.77,13185.178800000002
0.78,13573.900800000001
0.79,14249.5293
0.8,14850.940000000008
0.81,16142.908000000001
0.8200000000000001,16906.664000000008
0.8300000000000001,17450.5531
0.84,18140.9148
0.85,18913.647500000003
0.86,19387.666800000003
0.87,19654.2984
0.88,20197.606
0.89,20749.805400000005
0.9,21832.652000000006
0.91,22553.1074
0.92,23782.7248
0.93,24149.015100000004
0.9400000000000001,25454.774200000003
0.9500000000000001,26374.203
0.96,27030.54199999999
0.97,28140.299999999996
0.98,29022.7102
0.99,30324.710999999996
1,37032.5
