q,ic50
0,92
0.01,295.39469999999994
0.02,407.6956
0.03,464.99109999999996
0.04,538.3512
0.05,665.2194999999999
0.06,752.4866000000001
0.07,797.1241
0.08,865.9084
0.09,969.6148
0.1,1041.778
0.11,1135.5109
0.12,1227.8156
0.13,1315.5631
0.14,1356.5644
0.15,1419.067
0.16,1477.4356
0.17,1556.6776
0.18,1605.1316
0.19,1634.9372
0.2,1697.416
0.21,1766.9269
0.22,1818.8096
0.23,1906.4704000000002
0.24,1957.744
0.25,2010.6175
0.26,2106.251
0.27,2156.7709
0.28,2245.844
0.29,2295.4192000000003
0.3,2383.303
0.31,2469.2722999999996
0.32,2549.9104
0.33,2645.7704999999996
0.34,2716.9360000000006
0.35000000000000003,2792.3700000000003
0.36,2893.0196
0.37,3004.6711999999998
0.38,3101.3546
0.39,3204.4239
0.4,3284.42
0.41000000000000003,3384.7660000000005
0.42,3471.2752
0.43,3549.626
0.44,3593.9388
0.45,3694.4345000000003
0.46,3840.9610000000002
0.47000000000000003,3963.5013000000004
0.48,4068.9044
0.49,4172.8731
0.5,4251.73
0.51,4328.3788
0.52,4431.9668
0.53,4486.5591
0.54,4581.0964
0.55,4715.415
0.56,4812.5196
0.5700000000000001,4915.574
0.58,4992.115199999999
0.59,5058.7979
0.6,5144.436
0.61,5308.2016
0.62,5512.346
0.63,5635.240100000001
0.64,5707.1844
0.65,5772.285500000001
0.66,6009.662400000001
0.67,6190.0216
0.68,6375.754800000001
0.6900000000000001,6512.7651000000005
0.7000000000000001,6709.004
0.71,6826.2109
0.72,6980.9832
0.73,7237.193699999998
0.74,7473.275
0.75,7724.6525
0.76,7972.4992
0.77,8202.3684
0.78,8471.8822
0.79,8741.9863
0.8,9049.370000000004
0.81,9347.0377
0.8200000000000001,9543.744000000002
0.8300000000000001,9835.572800000004
0.84,10130.6732
0.85,10672.2145
0.86,10911.6482
0.87,11256.0946
0.88,11572.7672
0.89,11846.638299999999
0.9,12206.421
0.91,12404.5993
0.92,12822.9632
0.93,13258.442300000004
0.9400000000000001,13801.2732
0.9500000000000001,14613.396500000012
0.96,15690.285199999998
0.97,16886.3131
0.98,17829.879199999996
0.99,20580.251899999996
1,29220.32
