q,ic50
0,141.05
0.01,248.95319999999998
0.02,350.2394
0.03,437.58570000000003
0.04,476.092
0.05,525.9680000000001
0.06,575.8330000000001
0.07,645.9224000000002
0.08,701.2296
0.09,747.8326999999999
0.1,830.0430000000002
0.11,910.2581
0.12,982.6515999999999
0.13,1060.9482000000003
0.14,1117.2924
0.15,1224.094
0.16,1281.6047999999998
0.17,1373.179
0.18,1497.8285999999996
0.19,1615.5144
0.2,1704.29
0.21,1830.2845999999997
0.22,1902.696
0.23,2001.0983000000003
0.24,2169.7364
0.25,2260.4425
0.26,2355.2254
0.27,2530.5136
0.28,2623.1324000000004
0.29,2733.9668
0.3,2823.75
0.31,2923.9413
0.32,3071.2816000000003
0.33,3216.831500000001
0.34,3366.7438
0.35000000000000003,3454.9934999999996
0.36,3528.2956000000004
0.37,3629.7707
0.38,3816.4026000000003
0.39,4036.5135000000005
0.4,4127.2880000000005
0.41000000000000003,4255.9241999999995
0.42,4438.3586
0.43,4552.2914
0.44,4705.3968
0.45,4831.041
0.46,4950.4106
0.47000000000000003,5092.5313
0.48,5175.858
0.49,5369.8187
0.5,5575.805
0.51,5731.2784
0.52,5904.370000000001
0.53,6080.284000000001
0.54,6311.671000000001
0.55,6553.164000000001
0.56,6840.152400000001
0.5700000000000001,7146.197900000001
0.58,7340.477799999999
0.59,7588.330099999999
0.6,7845.705999999999
0.61,8041.593
0.62,8251.8448
0.63,8598.770400000001
0.64,9087.7684
0.65,9381.3905
0.66,9683.769400000001
0.67,9930.799500000001
0.68,10239.821200000004
0.6900000000000001,10563.2813
0.7000000000000001,10877.772000000004
0.71,11239.778999999997
0.72,11775.375199999997
0.73,12082.0034
0.74,12304.461
0.75,12845.525000000001
0.76,13225.4372
0.77,13632.764200000001
0.78,14280.052200000006
0.79,14760.4647
0.8,15293.746000000003
0.81,15643.083100000007
0.8200000000000001,16368.676400000002
0.8300000000000001,16838.511
0.84,17277.80879999999
0.85,17891.8045
0.86,18470.9236
0.87,19166.9938
0.88,20213.2504
0.89,21050.279300000002
0.9,21909.54200000001
0.91,22533.5816
0.92,23116.63640000001
0.93,24189.296600000005
0.9400000000000001,24976.317600000006
0.9500000000000001,26134.480000000007
0.96,26826.813199999993
0.97,27781.341
0.98,28853.472199999997
0.99,31866.457199999993
1,35341.76
