q,ic50
0,49.07
0.01,159.0645
0.02,239.4032
0.03,301.8915
0.04,374.75879999999995
0.05,439.629
0.06,513.275
0.07,563.6854000000001
0.08,646.1655999999999
0.09,723.0456999999998
0.1,783.1390000000001
0.11,928.2063
0.12,1020.5871999999999
0.13,1065.3737
0.14,1168.4112000000002
0.15,1267.0575
0.16,1352.118
0.17,1438.4594000000002
0.18,1497.5262
0.19,1655.4784
0.2,1712.9100000000003
0.21,1828.8567
0.22,1922.1818
0.23,1987.3021000000003
0.24,2070.3424
0.25,2203.0375000000004
0.26,2277.3158
0.27,2384.1855000000005
0.28,2530.5184
0.29,2616.0899
0.3,2819.147
0.31,2904.0476
0.32,3146.444
0.33,3277.6779
0.34,3415.4226
0.35000000000000003,3548.2035
0.36,3791.0328
0.37,3939.4302
0.38,4116.5838
0.39,4297.995600000002
0.4,4455.388000000001
0.41000000000000003,4639.7698
0.42,4933.047399999999
0.43,5103.5141
0.44,5234.8112
0.45,5501.1759999999995
0.46,5736.793
0.47000000000000003,5922.949200000001
0.48,6084.4003999999995
0.49,6293.635399999999
0.5,6564.6
0.51,6686.369600000001
0.52,6846.6072
0.53,6960.6859
0.54,7282.517600000001
0.55,7493.0885
0.56,7758.865600000001
0.5700000000000001,7909.907999999999
0.58,8193.2564
0.59,8403.230899999997
0.6,8710.187999999998
0.61,8989.509799999998
0.62,9270.547999999999
0.63,9486.4038
0.64,9749.7384
0.65,9991.525000000001
0.66,10339.650800000001
0.67,10579.649
0.68,10847.260400000001
0.6900000000000001,11060.141800000005
0.7000000000000001,11450.551000000003
0.71,11914.728099999998
0.72,12280.243599999998
0.73,12701.947199999999
0.74,13167.593199999998
0.75,13678.772500000001
0.76,14045.274800000001
0.77,14420.092300000002
0.78,14848.0556
0.79,15407.3027
0.8,15829.516
0.81,16251.379400000003
0.8200000000000001,16747.498200000002
0.8300000000000001,17171.530300000002
0.84,17508.354
0.85,17826.4765
0.86,18249.953
0.87,18861.2868
0.88,19505.7608
0.89,20134.1771
0.9,20882.09100000001
0.91,22016.8214
0.92,22716.52800000001
0.93,23968.470300000004
0.9400000000000001,24471.631400000006
0.9500000000000001,25731.547000000006
0.96,26609.641999999996
0.97,27583.385799999996
0.98,28568.108399999997
0.99,29945.276199999997
1,33869
