q,ic50
0,471.27
0.01,743.4367000000001
0.02,1023.8714000000001
0.03,1186.7581
0.04,1336.862
0.05,1466.1090000000002
0.06,1550.7334
0.07,1657.1727
0.08,1726.7852
0.09,1836.1200000000001
0.1,1900.46
0.11,2008.6078
0.12,2095.1044
0.13,2239.3204
0.14,2323.6762000000003
0.15,2418.8749999999995
0.16,2625.2
0.17,2696.3027
0.18,2761.3417999999997
0.19,2877.1243
0.2,2983.6020000000003
0.21,3110.335
0.22,3247.2246
0.23,3314.4816
0.24,3387.7456
0.25,3489.76
0.26,3556.5302
0.27,3654.9816
0.28,3759.5404
0.29,3825.5039
0.3,3899.656
0.31,3956.2097999999996
0.32,4038.3891999999996
0.33,4126.541800000001
0.34,4236.4232
0.35000000000000003,4356.178500000001
0.36,4452.7824
0.37,4635.1716
0.38,4742.111800000001
0.39,4888.187800000001
0.4,4980.372
0.41000000000000003,5154.7929
0.42,5250.1008
0.43,5378.7492999999995
0.44,5496.738799999999
0.45,5607.1595
0.46,5681.734
0.47000000000000003,5894.0188
0.48,6022.817999999999
0.49,6229.842699999999
0.5,6386.445
0.51,6520.948700000001
0.52,6697.6368
0.53,6967.8374
0.54,7118.632000000001
0.55,7301.201999999999
0.56,7452.762800000003
0.5700000000000001,7743.5767
0.58,7977.144999999999
0.59,8134.141599999998
0.6,8327.01
0.61,8473.0533
0.62,8742.356
0.63,8957.3052
0.64,9151.6008
0.65,9309.591
0.66,9489.028200000002
0.67,9839.743700000003
0.68,10079.484800000002
0.6900000000000001,10264.8577
0.7000000000000001,10458.951000000001
0.71,10661.5082
0.72,10872.905200000001
0.73,11011.8909
0.74,11381.3226
0.75,11729.575
0.76,12061.708
0.77,12443.515200000002
0.78,12804.915799999999
0.79,13259.036700000002
0.8,13529.890000000001
0.81,13671.333200000001
0.8200000000000001,13894.469600000004
0.8300000000000001,14185.796000000006
0.84,14681.9308
0.85,15019.645499999995
0.86,15638.078999999998
0.87,16060.4417
0.88,16537.3848
0.89,16784.128500000003
0.9,17415.258
0.91,18430.476199999997
0.92,19456.2184
0.93,19854.1657
0.9400000000000001,20629.657200000005
0.9500000000000001,21949.654000000013
0.96,22792.244799999997
0.97,23358.6067
0.98,25149.297799999993
0.99,27357.6866
1,37092.65
